round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
96.0,BCN,MAH,Barcelona International Airport,Menorca Airport
87.0,BCN,MAN,Barcelona International Airport,Manchester Airport
103.0,BCN,MAN,Barcelona International Airport,Manchester Airport
103.0,BCN,MAN,Barcelona International Airport,Manchester Airport
72.0,BCN,MUC,Barcelona International Airport,Munich Airport
96.0,BCN,MUC,Barcelona International Airport,Munich Airport
97.0,BCN,MXP,Barcelona International Airport,Malpensa International Airport
96.0,BCN,MXP,Barcelona International Airport,Malpensa International Airport
87.0,BCN,MXP,Barcelona International Airport,Malpensa International Airport
103.0,BCN,NAP,Barcelona International Airport,Naples International Airport
87.0,BCN,NAP,Barcelona International Airport,Naples International Airport
87.0,BCN,NDR,Barcelona International Airport,Nador International Airport
87.0,BCN,NDR,Barcelona International Airport,Nador International Airport
87.0,BCN,NTE,Barcelona International Airport,Nantes Atlantique Airport
103.0,BCN,OPO,Barcelona International Airport,Francisco de Sá Carneiro Airport
87.0,BCN,OPO,Barcelona International Airport,Francisco de Sá Carneiro Airport
87.0,BCN,ORY,Barcelona International Airport,Paris-Orly Airport
87.0,BCN,ORY,Barcelona International Airport,Paris-Orly Airport
87.0,BCN,ORY,Barcelona International Airport,Paris-Orly Airport
107.0,BCN,ORY,Barcelona International Airport,Paris-Orly Airport
87.0,BCN,OVD,Barcelona International Airport,Asturias Airport
17.0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
103.0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
103.0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
103.0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
103.0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
103.0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
103.0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
107.0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
87.0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
107.0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
107.0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
87.0,BCN,PMO,Barcelona International Airport,Falcone–Borsellino Airport
103.0,BCN,PRG,Barcelona International Airport,Václav Havel Airport Prague
107.0,BCN,SCQ,Barcelona International Airport,Santiago de Compostela Airport
103.0,BCN,SCQ,Barcelona International Airport,Santiago de Compostela Airport
96.0,BCN,SCQ,Barcelona International Airport,Santiago de Compostela Airport
103.0,BCN,SDR,Barcelona International Airport,Santander Airport
97.0,BCN,SEN,Barcelona International Airport,Southend Airport
107.0,BCN,SOF,Barcelona International Airport,Sofia Airport
103.0,BCN,SOF,Barcelona International Airport,Sofia Airport
103.0,BCN,STN,Barcelona International Airport,London Stansted Airport
103.0,BCN,STN,Barcelona International Airport,London Stansted Airport
72.0,BCN,STR,Barcelona International Airport,Stuttgart Airport
87.0,BCN,SVO,Barcelona International Airport,Sheremetyevo International Airport
103.0,BCN,SVQ,Barcelona International Airport,Sevilla Airport
87.0,BCN,SVQ,Barcelona International Airport,Sevilla Airport
96.0,BCN,SVQ,Barcelona International Airport,Sevilla Airport
96.0,BCN,SVQ,Barcelona International Airport,Sevilla Airport
87.0,BCN,SXF,Barcelona International Airport,Berlin-Schönefeld Airport
103.0,BCN,SXF,Barcelona International Airport,Berlin-Schönefeld Airport
87.0,BCN,TFN,Barcelona International Airport,Tenerife Norte Airport
87.0,BCN,TFN,Barcelona International Airport,Tenerife Norte Airport
23.0,BCN,TNG,Barcelona International Airport,Ibn Batouta Airport
103.0,BCN,VCE,Barcelona International Airport,Venice Marco Polo Airport
87.0,BCN,VCE,Barcelona International Airport,Venice Marco Polo Airport
87.0,BCN,VGO,Barcelona International Airport,Vigo Airport
87.0,BCN,VIE,Barcelona International Airport,Vienna International Airport
133.0,BCN,VLC,Barcelona International Airport,Valencia Airport
97.0,BCN,VLC,Barcelona International Airport,Valencia Airport
103.0,BCN,VLL,Barcelona International Airport,Valladolid Airport
77.0,BCN,ZRH,Barcelona International Airport,Zürich Airport
