round(f.occupancyPercentage * f.seatsCapacity/100),f.operator,entrada.iata,salida.iata,entrada.airportName,salida.airportName
103.0,AEA,MAD,IBZ,Adolfo Suárez Madrid–Barajas Airport,Ibiza Airport
103.0,AEA,MAD,IBZ,Adolfo Suárez Madrid–Barajas Airport,Ibiza Airport
107.0,IBS,MAD,IBZ,Adolfo Suárez Madrid–Barajas Airport,Ibiza Airport
107.0,VLG,MAD,IBZ,Adolfo Suárez Madrid–Barajas Airport,Ibiza Airport
145.0,KZU,MAD,ISL,Adolfo Suárez Madrid–Barajas Airport,Istanbul Atatürk Airport
115.0,THY,MAD,IST,Adolfo Suárez Madrid–Barajas Airport,Istanbul Airport
103.0,RYR,MAD,KBP,Adolfo Suárez Madrid–Barajas Airport,Boryspil International Airport
96.0,IBE,MAD,LCG,Adolfo Suárez Madrid–Barajas Airport,A Coruña Airport
96.0,IBE,MAD,LCG,Adolfo Suárez Madrid–Barajas Airport,A Coruña Airport
103.0,AEA,MAD,LCG,Adolfo Suárez Madrid–Barajas Airport,A Coruña Airport
58.0,ANE,MAD,LEI,Adolfo Suárez Madrid–Barajas Airport,Almería International Airport
58.0,ANE,MAD,LEI,Adolfo Suárez Madrid–Barajas Airport,Almería International Airport
113.0,BCS,MAD,LEJ,Adolfo Suárez Madrid–Barajas Airport,Leipzig/Halle Airport
154.0,BCS,MAD,LEJ,Adolfo Suárez Madrid–Barajas Airport,Leipzig/Halle Airport
232.0,CAO,MAD,LGG,Adolfo Suárez Madrid–Barajas Airport,Liège Airport
97.0,TAY,MAD,LGG,Adolfo Suárez Madrid–Barajas Airport,Liège Airport
72.0,EZY,MAD,LGW,Adolfo Suárez Madrid–Barajas Airport,London Gatwick Airport
188.0,IBE,MAD,LHR,Adolfo Suárez Madrid–Barajas Airport,London Heathrow Airport
107.0,IBE,MAD,LHR,Adolfo Suárez Madrid–Barajas Airport,London Heathrow Airport
221.0,BAW,MAD,LHR,Adolfo Suárez Madrid–Barajas Airport,London Heathrow Airport
5.0,UNKNOWN,MAD,LIN,Adolfo Suárez Madrid–Barajas Airport,Milano Linate Airport
96.0,IBE,MAD,LIS,Adolfo Suárez Madrid–Barajas Airport,Humberto Delgado Airport (Lisbon Portela Airport)
96.0,IBE,MAD,LIS,Adolfo Suárez Madrid–Barajas Airport,Humberto Delgado Airport (Lisbon Portela Airport)
72.0,TAP,MAD,LIS,Adolfo Suárez Madrid–Barajas Airport,Humberto Delgado Airport (Lisbon Portela Airport)
45.0,WHT,MAD,LIS,Adolfo Suárez Madrid–Barajas Airport,Humberto Delgado Airport (Lisbon Portela Airport)
45.0,WHT,MAD,LIS,Adolfo Suárez Madrid–Barajas Airport,Humberto Delgado Airport (Lisbon Portela Airport)
87.0,IBE,MAD,LPA,Adolfo Suárez Madrid–Barajas Airport,Gran Canaria Airport
45.0,SWT,MAD,LPA,Adolfo Suárez Madrid–Barajas Airport,Gran Canaria Airport
45.0,SWT,MAD,LPA,Adolfo Suárez Madrid–Barajas Airport,Gran Canaria Airport
103.0,RYR,MAD,LPA,Adolfo Suárez Madrid–Barajas Airport,Gran Canaria Airport
103.0,AEA,MAD,LPA,Adolfo Suárez Madrid–Barajas Airport,Gran Canaria Airport
103.0,AEA,MAD,LPA,Adolfo Suárez Madrid–Barajas Airport,Gran Canaria Airport
115.0,IBS,MAD,LPA,Adolfo Suárez Madrid–Barajas Airport,Gran Canaria Airport
