f.operator
AAL
ABR
AEA
AEG
AFL
AFR
AME
AMX
ANE
AWC
AXY
AYR
AZA
BAW
BCS
BEL
BNJ
CAO
CES
CLF
CLH
CNF
CYL
DHK
DLH
EDW
EIN
EJA
EJU
ENT
ETD
ETH
EWG
EZS
EZY
FDX
FPO
FRF
GAC
GES
IBB
IBE
IBS
INI
ITN
JAF
JFA
KLC
KLM
KZU
LDM
LGL
MAC
MAY
MLT
NAX
NJE
NSW
OVA
PGA
QTR
RAM
RFR
RYR
RYS
SAS
SRR
SVR
SWR
SWT
SZN
TAP
TAY
THY
TJT
TRA
TVF
TVS
TWG
TYW
UAE
UGC
UNKNOWN
UPS
VKA
VLG
VOE
WHT
WZZ
