BCN, ACE Abierta
BGY, ACE Abierta
BJL, ACE Abierta
BRS, ACE Abierta
DUB, ACE Abierta
EMA, ACE Abierta
LGW, ACE Abierta
LPA, ACE Abierta
LUX, ACE Abierta
MAD, ACE Abierta
MAN, ACE Abierta
ORK, ACE Abierta
STN, ACE Abierta
TFN, ACE Abierta
VLC, ACE Cerrada
"1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0"
